architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
merge	flickr8k	2	True	6	2	-17.968397	-5.8582153	7.2721767	0
merge	flickr8k	2	True	6	3	-18.131845	-6.0682607	7.071962	0
merge	flickr8k	2	True	6	4	-19.218252	-6.703889	7.3506355	0
merge	flickr8k	2	True	6	5	-18.21544	-6.3877196	7.8451414	0
merge	flickr8k	2	True	6	6	-17.784533	-6.097006	6.5133305	0
merge	flickr8k	2	True	6	7	-19.410112	-6.6031346	7.4567113	0
merge	flickr8k	2	True	7	0	-17.408703	-5.9827514	4.5126896	0
merge	flickr8k	2	True	7	1	-17.170805	-5.4848423	8.398639	0
merge	flickr8k	2	True	7	2	-17.864025	-5.7216353	8.460869	0
merge	flickr8k	2	True	7	3	-17.932932	-6.055949	7.197901	0
merge	flickr8k	2	True	7	4	-18.236187	-6.0806503	6.6340647	0
merge	flickr8k	2	True	7	5	-19.45964	-6.752091	7.2552705	0
merge	flickr8k	2	True	7	6	-18.691126	-6.5271482	7.8625116	0
merge	flickr8k	2	True	7	7	-18.083824	-6.132391	6.134538	0
merge	flickr8k	2	True	7	8	-19.614117	-6.7024317	7.3755956	0
merge	flickr8k	2	True	8	0	-17.68534	-6.058886	4.5138183	0
merge	flickr8k	2	True	8	1	-17.301605	-5.5604763	8.162773	0
merge	flickr8k	2	True	8	2	-17.84403	-5.8989472	9.517937	0
merge	flickr8k	2	True	8	3	-17.307304	-5.8348	6.969976	0
merge	flickr8k	2	True	8	4	-18.396648	-6.094688	6.722723	0
merge	flickr8k	2	True	8	5	-18.680412	-6.1184263	6.9251866	0
merge	flickr8k	2	True	8	6	-19.93729	-6.803188	7.7777343	0
merge	flickr8k	2	True	8	7	-19.048742	-6.585801	7.7317853	0
merge	flickr8k	2	True	8	8	-18.401373	-6.1573124	6.0449443	0
merge	flickr8k	2	True	8	9	-19.78095	-6.7595725	7.2221775	0
merge	flickr8k	2	True	9	0	-17.236906	-5.9524407	4.3577166	0
merge	flickr8k	2	True	9	1	-17.059708	-5.4537206	8.307295	0
merge	flickr8k	2	True	9	2	-18.020363	-5.8182354	7.859472	0
merge	flickr8k	2	True	9	3	-17.057838	-5.785291	8.114642	0
merge	flickr8k	2	True	9	4	-17.391235	-5.5550632	7.1135664	0
merge	flickr8k	2	True	9	5	-18.318933	-5.947368	7.094759	0
merge	flickr8k	2	True	9	6	-18.34303	-6.1114254	6.9076366	0
merge	flickr8k	2	True	9	7	-18.902662	-6.4925113	7.0475945	0
merge	flickr8k	2	True	9	8	-18.929295	-6.51984	7.8616877	0
merge	flickr8k	2	True	9	9	-17.958235	-5.978397	5.709103	0
merge	flickr8k	2	True	9	10	-19.712355	-6.6356997	6.835327	0
merge	flickr8k	2	True	10	0	-17.677319	-6.0876627	4.5668955	0
merge	flickr8k	2	True	10	1	-17.35383	-5.5889416	8.434935	0
merge	flickr8k	2	True	10	2	-18.772589	-6.1700697	7.5415845	0
merge	flickr8k	2	True	10	3	-17.958696	-6.2574596	8.226916	0
merge	flickr8k	2	True	10	4	-17.642057	-5.848276	7.1700006	0
merge	flickr8k	2	True	10	5	-18.467913	-5.7910376	7.524352	0
merge	flickr8k	2	True	10	6	-19.008352	-6.2568417	7.1191716	0
merge	flickr8k	2	True	10	7	-18.606611	-6.179329	6.588974	0
merge	flickr8k	2	True	10	8	-20.156168	-6.944847	7.5398583	0
merge	flickr8k	2	True	10	9	-19.19842	-6.668128	8.187692	0
merge	flickr8k	2	True	10	10	-18.237452	-6.1245255	5.7817807	0
merge	flickr8k	2	True	10	11	-19.924908	-6.7745705	7.1437345	0
merge	flickr8k	2	True	11	0	-17.50174	-6.0081353	4.492815	0
merge	flickr8k	2	True	11	1	-17.15584	-5.509415	8.311742	0
merge	flickr8k	2	True	11	2	-17.67603	-5.505524	8.920356	0
merge	flickr8k	2	True	11	3	-18.483412	-6.195624	7.3008184	0
merge	flickr8k	2	True	11	4	-17.652998	-6.1184773	7.941222	0
merge	flickr8k	2	True	11	5	-17.786438	-5.7638483	6.9861016	0
merge	flickr8k	2	True	11	6	-18.698387	-5.844193	7.299809	0
merge	flickr8k	2	True	11	7	-18.803757	-6.1878657	6.8238473	0
merge	flickr8k	2	True	11	8	-18.73967	-6.25112	6.5975986	0
merge	flickr8k	2	True	11	9	-19.755339	-6.8086486	7.6281104	0
merge	flickr8k	2	True	11	10	-18.796307	-6.4223437	7.4136963	0
merge	flickr8k	2	True	11	11	-18.311522	-6.0800834	5.787173	0
merge	flickr8k	2	True	11	12	-19.79172	-6.7129498	7.4459434	0
merge	flickr8k	2	True	12	0	-17.009571	-5.833493	4.5333247	0
merge	flickr8k	2	True	12	1	-16.730124	-5.334773	8.386054	0
merge	flickr8k	2	True	12	2	-17.83204	-5.7961307	7.912934	0
merge	flickr8k	2	True	12	3	-17.266361	-5.9718018	8.028176	0
merge	flickr8k	2	True	12	4	-17.046257	-5.6615515	7.207995	0
merge	flickr8k	2	True	12	5	-17.477741	-5.562145	7.1005073	0
merge	flickr8k	2	True	12	6	-18.297888	-5.9616566	7.0479927	0
merge	flickr8k	2	True	12	7	-17.594042	-5.8641376	6.6234655	0
merge	flickr8k	2	True	12	8	-18.102697	-6.0221233	7.211921	0
merge	flickr8k	2	True	12	9	-17.888653	-6.0755715	6.488191	0
merge	flickr8k	2	True	12	10	-18.411272	-6.24917	7.405782	0
merge	flickr8k	2	True	12	11	-17.753408	-6.144629	7.5782194	0
merge	flickr8k	2	True	12	12	-17.32641	-5.7492495	5.6451178	0
merge	flickr8k	2	True	12	13	-18.779856	-6.413252	7.083707	0
merge	flickr8k	2	True	13	0	-17.512238	-6.094969	4.580902	0
merge	flickr8k	2	True	13	1	-17.427988	-5.5962486	8.326831	0
merge	flickr8k	2	True	13	2	-18.426136	-6.007161	8.082989	0
merge	flickr8k	2	True	13	3	-17.901527	-6.243874	8.062771	0
merge	flickr8k	2	True	13	4	-17.536476	-5.921507	7.5508842	0
merge	flickr8k	2	True	13	5	-18.319016	-5.795611	7.0263414	0
merge	flickr8k	2	True	13	6	-18.864101	-6.1502037	7.451253	0
merge	flickr8k	2	True	13	7	-17.53012	-5.945395	6.6312823	0
merge	flickr8k	2	True	13	8	-17.464375	-5.8630276	6.09832	0
merge	flickr8k	2	True	13	9	-18.64517	-6.1973977	6.895812	0
merge	flickr8k	2	True	13	10	-18.692406	-6.248767	6.7140026	0
merge	flickr8k	2	True	13	11	-19.74587	-6.825138	7.6961813	0
merge	flickr8k	2	True	13	12	-19.021593	-6.629529	7.887187	0
merge	flickr8k	2	True	13	13	-18.40865	-6.122797	6.046076	0
merge	flickr8k	2	True	13	14	-19.87122	-6.7535677	7.2107515	0
merge	flickr8k	2	True	14	0	-17.46621	-6.057135	4.4255886	0
merge	flickr8k	2	True	14	1	-17.192879	-5.5584145	8.279728	0
merge	flickr8k	2	True	14	2	-18.129885	-5.924419	8.239808	0
merge	flickr8k	2	True	14	3	-17.7916	-6.232954	7.799373	0
merge	flickr8k	2	True	14	4	-17.299068	-5.943237	7.556063	0
merge	flickr8k	2	True	14	5	-17.944366	-5.7380385	7.0368004	0
merge	flickr8k	2	True	14	6	-18.667774	-6.05372	7.3427253	0
