architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
par	flickr8k	2	True	15	12	-9.453465	-1.7884651	10.818899	0
par	flickr8k	2	True	15	13	-9.691628	-1.9634784	11.88671	0
par	flickr8k	2	True	15	14	-9.415689	-1.7162423	10.653972	0
par	flickr8k	2	True	15	15	-8.988003	-1.3476788	9.605546	0
par	flickr8k	2	True	15	16	-10.0515375	-1.9902812	11.255034	0
par	flickr8k	3	True	5	0	-8.182958	-1.4782199	8.472672	0
par	flickr8k	3	True	5	1	-8.202783	-0.85056025	12.308573	0
par	flickr8k	3	True	5	2	-8.873931	-1.4151633	10.451473	0
par	flickr8k	3	True	5	3	-9.71753	-1.9756075	11.108114	0
par	flickr8k	3	True	5	4	-10.109629	-1.8582634	11.415884	0
par	flickr8k	3	True	5	5	-8.7581215	-1.2907413	10.191287	0
par	flickr8k	3	True	5	6	-10.204905	-2.0153232	11.233279	0
par	flickr8k	3	True	6	0	-8.28274	-1.4732292	8.5488615	0
par	flickr8k	3	True	6	1	-8.20114	-0.86608124	12.331377	0
par	flickr8k	3	True	6	2	-8.949001	-1.341548	11.140182	0
par	flickr8k	3	True	6	3	-9.358218	-1.4133807	10.758304	0
par	flickr8k	3	True	6	4	-9.868574	-1.9579278	11.03781	0
par	flickr8k	3	True	6	5	-9.978246	-1.7681673	11.280429	0
par	flickr8k	3	True	6	6	-8.714027	-1.3050351	10.36843	0
par	flickr8k	3	True	6	7	-10.171969	-2.0153809	11.0817795	0
par	flickr8k	3	True	7	0	-8.225332	-1.4731684	8.666021	0
par	flickr8k	3	True	7	1	-8.254035	-0.8425966	12.731638	0
par	flickr8k	3	True	7	2	-8.902374	-1.2508537	11.8459635	0
par	flickr8k	3	True	7	3	-9.164293	-1.4826294	11.158391	0
par	flickr8k	3	True	7	4	-9.531403	-1.3704392	10.457203	0
par	flickr8k	3	True	7	5	-9.859231	-1.9935814	11.405309	0
par	flickr8k	3	True	7	6	-9.966183	-1.8447351	11.398124	0
par	flickr8k	3	True	7	7	-8.665887	-1.266844	10.360633	0
par	flickr8k	3	True	7	8	-10.253945	-2.0432217	11.143597	0
par	flickr8k	3	True	8	0	-8.28283	-1.4997383	8.451029	0
par	flickr8k	3	True	8	1	-8.216455	-0.859515	12.6126375	0
par	flickr8k	3	True	8	2	-9.180192	-1.345343	11.773579	0
par	flickr8k	3	True	8	3	-9.272505	-1.4544542	11.3555765	0
par	flickr8k	3	True	8	4	-9.237875	-1.520384	11.265835	0
par	flickr8k	3	True	8	5	-9.051704	-1.2585225	10.3200865	0
par	flickr8k	3	True	8	6	-9.821011	-1.8812244	11.426047	0
par	flickr8k	3	True	8	7	-9.729664	-1.8292607	11.206071	0
par	flickr8k	3	True	8	8	-8.883008	-1.2343255	9.9629345	0
par	flickr8k	3	True	8	9	-10.301789	-2.0096831	11.2724085	0
par	flickr8k	3	True	9	0	-8.178044	-1.4628284	8.41989	0
par	flickr8k	3	True	9	1	-8.242117	-0.83396983	12.573804	0
par	flickr8k	3	True	9	2	-8.84623	-1.2999082	11.523376	0
par	flickr8k	3	True	9	3	-9.372809	-1.4367204	11.391169	0
par	flickr8k	3	True	9	4	-8.757504	-1.268222	11.236097	0
par	flickr8k	3	True	9	5	-9.201708	-1.4811524	10.774195	0
par	flickr8k	3	True	9	6	-9.470077	-1.39687	10.619597	0
par	flickr8k	3	True	9	7	-10.057029	-1.9273812	11.040087	0
par	flickr8k	3	True	9	8	-9.785299	-1.8480304	11.292447	0
par	flickr8k	3	True	9	9	-8.718534	-1.2634519	10.126159	0
par	flickr8k	3	True	9	10	-10.390947	-2.0150762	11.488203	0
par	flickr8k	3	True	10	0	-8.202563	-1.4854845	8.555696	0
par	flickr8k	3	True	10	1	-8.365372	-0.8434505	12.653925	0
par	flickr8k	3	True	10	2	-9.030289	-1.374366	11.33247	0
par	flickr8k	3	True	10	3	-9.34094	-1.5556576	11.671902	0
par	flickr8k	3	True	10	4	-8.717215	-1.1200696	10.581475	0
par	flickr8k	3	True	10	5	-9.125575	-1.2386495	11.121996	0
par	flickr8k	3	True	10	6	-9.638764	-1.569247	11.114486	0
par	flickr8k	3	True	10	7	-9.761921	-1.5027666	10.563478	0
par	flickr8k	3	True	10	8	-9.844433	-2.0238771	11.552933	0
par	flickr8k	3	True	10	9	-9.611024	-1.8111911	11.52978	0
par	flickr8k	3	True	10	10	-8.800025	-1.21772	9.919747	0
par	flickr8k	3	True	10	11	-10.213833	-1.9981129	11.038319	0
par	flickr8k	3	True	11	0	-8.325895	-1.4796929	8.571188	0
par	flickr8k	3	True	11	1	-8.18069	-0.8309877	12.616129	0
par	flickr8k	3	True	11	2	-9.010299	-1.2638564	11.770573	0
par	flickr8k	3	True	11	3	-9.255505	-1.5320625	11.215953	0
par	flickr8k	3	True	11	4	-9.077567	-1.3724236	11.015051	0
par	flickr8k	3	True	11	5	-8.922776	-1.1510988	10.75896	0
par	flickr8k	3	True	11	6	-9.46572	-1.4010386	11.183591	0
par	flickr8k	3	True	11	7	-9.677124	-1.6194023	10.72958	0
par	flickr8k	3	True	11	8	-9.609007	-1.5306677	10.609985	0
par	flickr8k	3	True	11	9	-9.966551	-2.0102694	11.543418	0
par	flickr8k	3	True	11	10	-9.819146	-1.8678569	11.556945	0
par	flickr8k	3	True	11	11	-8.878003	-1.2792451	10.250745	0
par	flickr8k	3	True	11	12	-10.340669	-2.0297642	11.304295	0
par	flickr8k	3	True	12	0	-8.151039	-1.5043463	8.65024	0
par	flickr8k	3	True	12	1	-8.264825	-0.87309253	12.730941	0
par	flickr8k	3	True	12	2	-9.102461	-1.3877316	11.56878	0
par	flickr8k	3	True	12	3	-9.325002	-1.5653343	11.8168545	0
par	flickr8k	3	True	12	4	-8.818979	-1.1767378	10.938095	0
par	flickr8k	3	True	12	5	-9.067357	-1.2500019	11.220501	0
par	flickr8k	3	True	12	6	-9.620184	-1.565607	11.165711	0
par	flickr8k	3	True	12	7	-9.643918	-1.5907756	10.532951	0
par	flickr8k	3	True	12	8	-9.564102	-1.7371478	11.169509	0
par	flickr8k	3	True	12	9	-9.33182	-1.5244601	10.693241	0
par	flickr8k	3	True	12	10	-9.685542	-1.9083694	11.55599	0
